Team,Location,Against,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
WAS,Home,GSW,240,118,44,95,46.3,15,42,35.7,15,21,71.4,9,27,36,29,7,2,10,22,L
WAS,Home,DET,240,101,36,79,45.6,8,23,34.8,21,27,77.8,5,40,45,24,7,6,16,18,W
WAS,Home,NYK,240,101,40,92,43.5,7,27,25.9,14,20,70,15,36,51,23,9,2,14,10,W
WAS,Home,TOR,290,138,54,118,45.8,19,44,43.2,11,18,61.1,17,34,51,36,11,7,20,28,L
WAS,Home,MIL,240,113,40,82,48.8,18,33,54.5,15,20,75,6,37,43,28,10,3,17,17,W
WAS,Home,PHI,240,123,47,87,54,13,27,48.1,16,21,76.2,11,28,39,26,16,2,19,21,W
WAS,Away,PHI,240,115,42,84,50,14,32,43.8,17,21,81,6,28,34,26,14,3,17,18,L
WAS,Away,OKC,240,116,44,101,43.6,10,37,27,18,22,81.8,16,39,55,25,8,8,9,16,W
WAS,Away,MIA,240,109,42,98,42.9,10,36,27.8,15,19,78.9,10,31,41,24,8,2,12,18,L
WAS,Home,ATL,240,114,43,92,46.7,11,29,37.9,17,23,73.9,10,38,48,29,10,2,10,20,W
UTA,Home,NYK,240,129,51,93,54.8,16,36,44.4,11,14,78.6,15,45,60,30,8,6,17,27,W
UTA,Home,PHI,240,97,33,86,38.4,11,35,31.4,20,27,74.1,12,32,44,19,11,1,16,19,L
